sampleID	cellType	label	study
Monocyte.Day7.7.IRIS_GSE22886.GSM565360	Macrophages M0	Macrophages M0	Abbas
Monocyte.Day7.8.IRIS_GSE22886.GSM565361	Macrophages M0	Macrophages M0	Abbas
Monocyte.Day7.9.IRIS_GSE22886.GSM565362	Macrophages M0	Macrophages M0	Abbas
Monocyte.Day7.10.IRIS_GSE22886.GSM565363	Macrophages M0	Macrophages M0	Abbas
Monocyte.Day7.11.IRIS_GSE22886.GSM565364	Macrophages M0	Macrophages M0	Abbas
Monocyte.Day7.12.IRIS_GSE22886.GSM565365	Macrophages M0	Macrophages M0	Abbas
classical.or.M1.activated.macrophages.rep1.M1_M2_GSE7138.GSM115055	Macrophages M1	Macrophages M1	Cho
classical.or.M1.activated.macrophages.rep2.M1_M2_GSE7138.GSM115056	Macrophages M1	Macrophages M1	Cho
classical.or.M1.activated.macrophages.rep3.M1_M2_GSE7138.GSM115057	Macrophages M1	Macrophages M1	Cho
Alternative.or.M2.activated.macrophages.rep1.M1_M2_GSE7138.GSM115058	Macrophages M2	Macrophages M2	Cho
Alternative.or.M2.activated.macrophages.rep2.M1_M2_GSE7138.GSM115059	Macrophages M2	Macrophages M2	Cho
Alternative.or.M2.activated.macrophages.rep3.M1_M2_GSE7138.GSM115060	Macrophages M2	Macrophages M2	Cho
DendriticCell.Control.1.IRIS_GSE22886.GSM565366	Dendritic cells resting	Dendritic resting	Abbas
DendriticCell.Control.2.IRIS_GSE22886.GSM565367	Dendritic cells resting	Dendritic resting	Abbas
DendriticCell.Control.3.IRIS_GSE22886.GSM565368	Dendritic cells resting	Dendritic resting	Abbas
DendriticCell.Control.4.IRIS_GSE22886.GSM565369	Dendritic cells resting	Dendritic resting	Abbas
DendriticCell.Control.5.IRIS_GSE22886.GSM565370	Dendritic cells resting	Dendritic resting	Abbas
DendriticCell.Control.6.IRIS_GSE22886.GSM565371	Dendritic cells resting	Dendritic resting	Abbas
DendriticCell.LPSstimulated.1.IRIS_GSE22886.GSM565372	Dendritic cells activated	Dendritic activated	Abbas
DendriticCell.LPSstimulated.2.IRIS_GSE22886.GSM565373	Dendritic cells activated	Dendritic activated	Abbas
DendriticCell.LPSstimulated.3.IRIS_GSE22886.GSM565374	Dendritic cells activated	Dendritic activated	Abbas
DendriticCell.LPSstimulated.4.IRIS_GSE22886.GSM565375	Dendritic cells activated	Dendritic activated	Abbas
DendriticCell.LPSstimulated.5.IRIS_GSE22886.GSM565376	Dendritic cells activated	Dendritic activated	Abbas
DendriticCell.LPSstimulated.6.IRIS_GSE22886.GSM565377	Dendritic cells activated	Dendritic activated	Abbas
NKcell.control.1.IRIS_GSE22886.GSM565293	NK cells resting	NK resting	Abbas
NKcell.control.2.IRIS_GSE22886.GSM565294	NK cells resting	NK resting	Abbas
NKcell.control.3.IRIS_GSE22886.GSM565295	NK cells resting	NK resting	Abbas
NKcell.control.4.IRIS_GSE22886.GSM565296	NK cells resting	NK resting	Abbas
NKcell.IL2stimulated.1.IRIS_GSE22886.GSM565297	NK cells activated	NK activated	Abbas
NKcell.IL2stimulated.2.IRIS_GSE22886.GSM565298	NK cells activated	NK activated	Abbas
NKcell.IL2stimulated.3.IRIS_GSE22886.GSM565299	NK cells activated	NK activated	Abbas
NKcell.IL2stimulated.4.IRIS_GSE22886.GSM565300	NK cells activated	NK activated	Abbas
NKcell.IL2stimulated.5.IRIS_GSE22886.GSM565301	NK cells activated	NK activated	Abbas
NKcell.IL15stimulated.1.IRIS_GSE22886.GSM565302	NK cells activated	NK activated	Abbas
NKcell.IL15stimulated.2.IRIS_GSE22886.GSM565303	NK cells activated	NK activated	Abbas
NKcell.IL15stimulated.3.IRIS_GSE22886.GSM565304	NK cells activated	NK activated	Abbas
NKcell.IL15stimulated.4.IRIS_GSE22886.GSM565305	NK cells activated	NK activated	Abbas
NKcell.IL15stimulated.5.IRIS_GSE22886.GSM565306	NK cells activated	NK activated	Abbas
NKcell.IL15stimulated.6.IRIS_GSE22886.GSM565307	NK cells activated	NK activated	Abbas
Bcell.Memory_IgG_IgA.1.IRIS_GSE22886.GSM565315	B cells memory	B memory	Abbas
Bcell.Memory_IgG_IgA.2.IRIS_GSE22886.GSM565316	B cells memory	B memory	Abbas
Bcell.Memory_IgG_IgA.3.IRIS_GSE22886.GSM565317	B cells memory	B memory	Abbas
