Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
SRR3184279,0.020270269,0,0.012808584,0.105977507,0,0.155686032,0.003844577,0.033181165,0.071396682,0,0,0.045632823,0,0.049137969,0.095245687,0.236134749,0.038078532,0,0.132605423,0,0,0,0.15,0.063688989,1.056334502
SRR3184280,0.029095918,0,0.0001,0.106388012,0,0.166456472,0.0005,0.09143378,0.022527869,0.003921627,0,0.042883684,0.039978645,0.055632618,0.068078097,0.226898747,0.014143018,0,0,0.025361378,0.051724211,0.054823627,0.03,0.130808021,1.033021657
SRR3184281,0.056737018,0,0.007466596,0.183686541,0,0.085095745,0.039123326,0.080788304,0.012595294,0,0,0.022288244,0.117851101,0,0.070435635,0.177449557,0.024740098,0,0.013058518,0,0,0.108684023,0.03,0.144051451,1.027589731
SRR3184282,0.002475206,0,0.0008,0.025525125,0,0.119643295,0.012599256,0.018504509,0.04359905,0,0.037942838,0,0.007174511,0.183307187,0,0.300456041,0.005517503,0,0.218817341,0,0.023685994,0,0.05,0.101766042,1.050757058
SRR3184283,0,0.004865368,0.0004,0.019749439,0,0.0202236,0.020540652,0.007022785,0.021720877,0,0.021351504,0,0.069714967,0.237912666,0,0.286563918,0,0,0.100693834,0,0,0.18927131,0.15,0.064922223,1.09901264
SRR3184284,0.007969795,0,0.001128388,0.127023557,0,0,0.066947687,0.142373555,0.022061817,0,0,0.009000593,0,0.410715297,0.086188816,0.103934907,0.007091913,0,0.015563677,0,0,0,0.12,0.071215527,1.089331012
SRR3184285,0,0,0.003148597,0.027749681,0,0.227990844,0.002543606,0.05476493,0.011036196,0.008222867,0,0,0.020344761,0.094603046,0.183242674,0.255702771,0.066078112,0,0.024832457,0,0,0.019739457,0.03,0.152797685,1.037558982
SRR3184286,0.013206144,0,0.004201463,0.200627298,0,0.105510168,0.057098816,0.057313344,0.080067945,0,0,0.026928735,0.034537223,0,0.121967366,0.218248671,0.013506433,0,0.066786393,0,0,0,0.19,0.041891982,1.077013931
SRR3184287,0,0.038047866,0,0,0,0,0.030026621,0.119793127,0,0.004260644,0.008300365,0,0,0.595429862,0.003013891,0.040837983,0,0.016270278,0.015263573,0,0,0.128755791,0.03,0.114136162,1.119221637
SRR3184288,0,0.004130682,0,0.011701377,0,0.083808401,0.018383166,0.011280417,0,0,0.028605106,0,0.017049325,0.372066195,0.047113224,0.251856743,0,0,0.100892345,0.019325339,0.003809541,0.029978138,0.03,0.126790948,1.067120359
SRR3184289,0.002377936,0,0,0.25066621,0,0.087367364,0.102002849,0.052085181,0.040119748,0,0,0.006470281,0.069465609,0.066265096,0.070083252,0.203606651,0.002384659,0,0.014140125,0,0.012565759,0.02039928,0,0.330018366,0.949074416
SRR3184290,0,0,0.003045254,0.076711075,0,0.100480314,0.037089964,0.021308414,0,0.025713541,0,0,0,0.025359174,0.122571793,0.368034133,0,0,0,0.159762866,0,0.059923472,0.02,0.254304381,0.990115582
SRR3184291,0.002035661,0.060667884,0.027908591,0.183933991,0,0.014374404,0.042732565,0.096047843,0.03258774,0.021706995,0,0.005721529,0.002130603,0.00946216,0.110443933,0.347907958,0.019757225,0,0.020455824,0,0,0.002125093,0.03,0.148923935,1.027379075
SRR3184292,0.033057411,0,0.003677156,0.006220724,0,0.047943013,0.016275844,0.003802204,0.017008971,0,0.045069369,0,0.024295808,0.306176501,0.011533961,0.073008536,0,0.037112883,0,0.01093636,0,0.363861233,0.01,0.270176886,1.02451804
SRR3184293,0.021448313,0,0.034478366,0.129933248,0,0,0,0.09237378,0.078588149,0,0,0.03759542,0,0.478238625,0.046749259,0.058694078,0.002439227,0,0.019461535,0,0,0,0.02,0.190929748,1.038293786
SRR3184294,0.015102912,0,0.006055615,0.416589071,0,0,0.031991249,0.085663939,0.048417129,0,0,0.067439401,0.012244463,0.075072093,0.09382483,0.090884453,0.018351644,0,0.038363203,0,0,0,0.13,0.068897381,1.093228163
SRR3184295,0.022480294,0,0.03709269,0.152500026,0,0.11874334,0.031048344,0.056851,0.027155909,0,0,0.0039149,0.044761516,0.007267212,0.089642943,0.304393136,0.031658902,0,0.04658013,0,0.01357751,0.012332147,0.06,0.090951747,1.04364778
SRR3184296,0.005087784,0,0.0007,0.084519687,0,0.030302952,0.02077538,0.050275906,0.04332201,0,0,0.046475908,0.018579383,0.163930923,0.083672612,0.284797886,0.004458667,0,0.043760368,0,0.045754619,0.073583844,0,0.37503326,0.928644228
SRR3184297,0.009111422,0,0.007886555,0.380328015,0,0,0,0.066096549,0.08110252,0,0,0.102804395,0.047106371,0.0245941,0.09059586,0.118413221,0.028571223,0,0.043389767,0,0,0,0.18,0.055252819,1.098067339
SRR3184298,0.038877824,0,0.001919404,0.258747808,0,0,0.078716741,0.045336569,0.045614054,0,0,0,0.105667852,0,0.124908299,0.239230381,0.032334109,0,0.027985477,0,0,0.0007,0.02,0.175519025,1.014960367
SRR3184299,0,0.035925832,0,0.056765658,0,0.207217685,0.008116955,0.076651086,0.007183986,0,0,0.036550165,0.005989835,0.044395032,0.164654475,0.24339723,0.024651133,0,0.076128521,0,0.002297932,0.010074476,0.05,0.103521661,1.050665707
SRR3184300,0,0,0.003509367,0.010328509,0,0.091850829,0,0.168196356,0.191737274,0,0,0,0,0.211337498,0.005031852,0.031744925,0.089830412,0.113493498,0.015282976,0.02738229,0,0.040274214,0.02,0.199748783,1.014370764
SRR3184301,0.060027628,0,0.017415273,0.224018925,0,0.10855036,0.034822011,0.080190991,0.029790581,0,0,0.015555137,0.062737307,0,0.099760981,0.231024337,0.011926954,0,0.014191811,0,0,0.009987703,0.03,0.156028021,1.02653678
SRR3184302,0.025672925,0,0.002330278,0.135180194,0,0.101908131,0.037505442,0.036776703,0.086079385,0,0.06752689,0.018934113,0.038538824,0.275397776,0.069328258,0.078651692,0,0,0.008873233,0,0,0.017296156,0.18,0.054188757,1.077475059
SRR3184303,0.006930709,0,0,0.148629015,0,0.22086559,0,0,0.069931594,0,0,0.043208492,0.037746892,0.262139188,0.035368194,0.146139151,0,0,0.028530831,0,0,0.0005,0.02,0.166813047,1.031594405
SRR3184304,0.008298602,0,0,0.273625503,0,0.065057522,0.004525909,0.092321118,0.043887036,0,0,0.016119289,0.059049817,0.084616443,0.087480764,0.215383698,0.010404365,0,0.039229934,0,0,0,0.07,0.08884929,1.058899274
SRR3184305,0,0,0.034398429,0.34649318,0,0.031175015,0.009061646,0.087095759,0.129202189,0,0,0.078975295,0.025336995,0.068000427,0.058432719,0.117616053,0.00236244,0,0.011849854,0,0,0,0.15,0.06474158,1.096818345
SRR3184306,0.27383355,0.225404168,0.004531564,0.089060684,0,0.044837869,0.049457794,0.050351644,0.088890592,0,0,0.02498098,0.001,0.10513527,0.034925794,0.002341586,0,0,0.005297981,0,0,0,0,0.565735475,0.823845608
