Input Sample,Bcells,CAFs,CD4_Tcells,CD8_Tcells,Endothelial,Macrophages,NKcells,P-value,Pearson Correlation,RMSE
LAU125,0.458815362,0.00409962,0.389881291,0.016202009,0,0.119610916,0.011390802,0.4,0.084247906,0.998359437
LAU1255,0.152378676,0,0.159539045,0.334679505,0,0.353402773,0,0.01,0.617386314,0.865315463
LAU1314,0.779040255,0,0.170611849,0.044365267,0,0.003619596,0.002363034,0.01,0.908321446,0.777497007
LAU355,0.731518052,0,0.173886095,0.052972425,0,0.041623428,0,0.01,0.922777371,0.785872905
