Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.575534445,0.085090013,0.089739051,0.249636491,0,0.86130119,0.521641734
Mixed_2,0.795960466,0.106402257,0.072168283,0.025468994,0,0.816528449,0.576837846
Mixed_3,0.198806013,0.171165146,0.207099484,0.422929357,0,0.888722191,0.485028263
Mixed_4,0.084600464,0.072000967,0.400314217,0.443084352,0,0.872821597,0.497192532
Mixed_5,0.570780153,0.068643936,0.120371724,0.240204188,0,0.770448467,0.637164133
Mixed_6,0.430855383,0.197374789,0.130450881,0.241318946,0,0.731271113,0.681136199
Mixed_7,0.460481371,0.098051709,0.085624745,0.355842175,0,0.772800652,0.634976866
Mixed_8,0.520546345,0.271921794,0.142473219,0.065058642,0,0.84522843,0.544376465
Mixed_9,0.416606786,0.323116027,0.015314321,0.244962866,0,0.797262237,0.606563407
Mixed_10,0.531673156,0.112152075,0.209020609,0.14715416,0,0.712902839,0.700198253
Mixed_11,0.380708102,0.070949242,0.392538613,0.155804043,0,0.862564209,0.520039154
Mixed_12,0.356430033,0.314729375,0.035160694,0.293679898,0,0.840590191,0.553454263
Mixed_13,0.391349026,0.169531339,0.263803014,0.175316621,0,0.738602506,0.673426021
Mixed_14,0.452594519,0.250161528,0.063286144,0.233957809,0,0.806465587,0.596791484
Mixed_15,0.520411435,0.295226487,0.138441176,0.045920901,0,0.655558164,0.75879039
Mixed_16,0.336228979,0.057976154,0.308961494,0.296833374,0,0.519826414,0.876316435
Mixed_17,0.488086444,0.036129887,0.226280353,0.249503316,0,0.697201581,0.716214794
Mixed_18,0.583364268,0.281338442,0.050389119,0.084908171,0,0.67812452,0.73755743
Mixed_19,0.56886339,0.103331565,0.011664468,0.316140577,0,0.868122308,0.509757358
Mixed_20,0.221883807,0.031560531,0.105492804,0.641062858,0,0.893609045,0.456167048
Mixed_21,0.526370017,0.314703953,0.130773443,0.028152587,0,0.740058803,0.671492507
Mixed_22,0.345648248,0.450620665,0.042428518,0.161302569,0,0.781050661,0.624475078
Mixed_23,0.518984849,0.206658066,0.063734301,0.210622784,0,0.87212972,0.509834558
Mixed_24,0.553565953,0.006958604,0.32826236,0.111213083,0,0.762838912,0.645416691
Mixed_25,0.379904603,0.275433213,0.221453594,0.12320859,0,0.665398655,0.746515097
Mixed_26,0.572753002,0.160222846,0.006971188,0.260052964,0,0.599107869,0.812082225
Mixed_27,0.360023334,0.484417194,0.116960193,0.03859928,0,0.818668995,0.576394106
Mixed_28,0.477773599,0.311270793,0.092377096,0.118578511,0,0.855115133,0.5326915
Mixed_29,0.330509366,0.251595481,0.080143291,0.337751861,0,0.703834287,0.709034933
Mixed_30,0.252043929,0.491049398,0.103276661,0.153630012,0,0.802389724,0.598303948
Mixed_31,0.51736171,0.217473391,0.202172209,0.06299269,0,0.904148571,0.458837351
Mixed_32,0.262427106,0.608506433,0.091930019,0.037136443,0,0.801335744,0.59712276
Mixed_33,0.700264615,0.136965244,0.057743869,0.105026273,0,0.870020799,0.501194099
Mixed_34,0.321773705,0.364851091,0.032800061,0.280575143,0,0.65172759,0.760688473
