Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_89,0.274971543,0.339854378,0.224326658,0.160847421,0,0.648820158,0.761658103
Mixed_90,0.297720801,0.362735185,0.14928559,0.190258424,0,0.812130563,0.591449477
Mixed_91,0.239397505,0.386062051,0.10825148,0.266288965,0,0.883517087,0.495188044
Mixed_92,0.478935762,0.212302629,0.143512758,0.165248851,0,0.899145759,0.478660141
Mixed_93,0.333292134,0.113502711,0.419748584,0.133456571,0,0.876006032,0.502426674
Mixed_94,0.464285321,0.156013337,0.181272743,0.1984286,0,0.863554933,0.528675301
Mixed_95,0.222924289,0.33527386,0.278198534,0.163603318,0,0.4748739,0.909871327
Mixed_96,0.411399367,0.24193348,0.180194336,0.166472817,0,0.891689293,0.491282671
Mixed_97,0.373919995,0.451989063,0.069419813,0.104671129,0,0.849189602,0.53889004
Mixed_98,0.253853737,0.116156231,0.219162463,0.410827569,0,0.874348553,0.506061919
Mixed_99,0.337127345,0.15543428,0.31759751,0.189840864,0,0.879324668,0.505592055
Mixed_100,0.353914304,0.132228029,0.219550446,0.294307221,0,0.83045349,0.570266418
Mixed_101,0.211814829,0.19636645,0.412311053,0.179507668,0,0.906288491,0.457950407
Mixed_102,0.468330561,0.108075602,0.26697669,0.156617147,0,0.856515485,0.535149013
Mixed_103,0.533344172,0.172133904,0.098166964,0.19635496,0,0.89031597,0.488576498
Mixed_104,0.337639615,0.2091775,0.104839702,0.348343183,0,0.770152048,0.639473431
Mixed_105,0.425322663,0.232695531,0.081866348,0.260115458,0,0.57763069,0.824438291
Mixed_106,0.22581465,0.188849158,0.10671286,0.478623332,0,0.63063336,0.78296729
Mixed_107,0.522828372,0.096967431,0.272460598,0.107743599,0,0.941408044,0.400994752
Mixed_108,0.600834651,0.234617895,0.08676096,0.077786494,0,0.863414162,0.520547412
Mixed_109,0.525256114,0.30884363,0.071706029,0.094194227,0,0.712530447,0.70068451
Mixed_110,0.710421193,0.123391264,0.021692741,0.144494802,0,0.800510187,0.600355437
Mixed_111,0.547756898,0.072362474,0.05166335,0.328217278,0,0.777840689,0.629054042
Mixed_112,0.361979798,0.137712308,0.135442802,0.364865092,0,0.67881467,0.733622963
Mixed_113,0.251380328,0.293995666,0.290779157,0.16384485,0,0.597818695,0.807574575
Mixed_114,0.436446538,0.127332769,0.14693644,0.289284252,0,0.622349226,0.785592036
Mixed_115,0.368807791,0.511393151,0.060072513,0.059726545,0,0.905469125,0.448081334
Mixed_116,0.185743683,0.407234404,0.038614641,0.368407271,0,0.834127687,0.556946459
Mixed_117,0.254068691,0.240808295,0.289818136,0.215304878,0,0.771942585,0.63799517
Mixed_118,0.61908844,0.088539222,0.105948746,0.186423592,0,0.906077802,0.457730419
Mixed_119,0.517360092,0.299432093,0.040039475,0.14316834,0,0.898486841,0.472444292
Mixed_120,0.125159684,0.352185463,0.317371896,0.205282957,0,0.809709388,0.591146668
Mixed_121,0.656475039,0.258082318,0.050130918,0.035311725,0,0.856586986,0.525439385
Mixed_122,0.222008974,0.270535436,0.201114812,0.306340777,0,0.759408181,0.651288499
Mixed_123,0.396771501,0.182658641,0.201009804,0.219560054,0,0.78390104,0.625758709
Mixed_124,0.084694227,0.2890753,0.109102009,0.517128464,0,0.815850649,0.578393829
Mixed_125,0.364352047,0.200233888,0.06046194,0.374952125,0,0.871238792,0.513203624
Mixed_126,0.393333628,0.24117339,0.031049134,0.334443848,0,0.875617542,0.507611755
Mixed_127,0.393948646,0.164103132,0.036180098,0.405768124,0,0.858698452,0.527786259
Mixed_128,0.309552738,0.270712763,0.143930989,0.27580351,0,0.888756588,0.494309693
Mixed_129,0.309256024,0.181898695,0.292761409,0.216083871,0,0.901513146,0.475362605
Mixed_130,0.268221637,0.249332185,0.133441891,0.349004287,0,0.530358295,0.865120143
Mixed_131,0.173054354,0.311428376,0.392174192,0.123343078,0,0.823420873,0.573311436
Mixed_132,0.465120084,0.237936015,0.167716075,0.129227826,0,0.900489432,0.476127028
Mixed_133,0.396234716,0.074261234,0.195076441,0.334427609,0,0.743729332,0.667818425
Mixed_134,0.471906522,0.263084893,0,0.265008585,0,0.811943154,0.589959321
Mixed_135,0.387781493,0.229828998,0.036713787,0.345675723,0,0.806568145,0.596775386
