Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.276305717,0.206018809,0.357921735,0.159753739,0,0.967573681,0.357177266
Mixed_2,0.507578694,0.250695868,0.087090678,0.15463476,0,0.944452022,0.377268887
Mixed_3,0.367823387,0.368561346,0.086657077,0.17695819,0,0.948257453,0.374900211
Mixed_4,0.416099146,0.07835824,0.192167854,0.31337476,0,0.962868117,0.354713385
Mixed_5,0.368778197,0.110325709,0.070894586,0.450001508,0,0.910343858,0.441692561
Mixed_6,0.44647974,0.353172257,0.057851534,0.142496468,0,0.944735753,0.373920822
Mixed_7,0.705869644,0.109042258,0.055646853,0.129441246,0,0.942394124,0.35541495
Mixed_8,0.330935532,0.200735129,0.367104707,0.101224632,0,0.961214639,0.361502322
Mixed_9,0.359648886,0.320364256,0.041295097,0.278691761,0,0.960030442,0.353559418
Mixed_10,0.732161405,0.156405866,0.063377801,0.048054928,0,0.94329249,0.346970313
Mixed_11,0.314483828,0.259862686,0.245192473,0.180461013,0,0.960851149,0.36959416
Mixed_12,0.446303186,0.401205453,0.076056752,0.076434609,0,0.956712877,0.33984177
Mixed_13,0.389066621,0.447664834,0.042676891,0.120591654,0,0.929961652,0.396231885
Mixed_14,0.247969248,0.618082393,0.089004958,0.044943401,0,0.943210322,0.349842894
Mixed_15,0.404635875,0.45298626,0.052311775,0.090066091,0,0.948172876,0.355716561
Mixed_16,0.186636539,0.606585315,0.1097448,0.097033346,0,0.931461725,0.381224514
Mixed_17,0.521435349,0.192537091,0.148377398,0.137650163,0,0.942895884,0.38201881
Mixed_18,0.609716443,0.250484505,0.090196489,0.049602562,0,0.965689739,0.307579022
Mixed_19,0.416364261,0.473418008,0.032460838,0.077756894,0,0.959252829,0.32418044
Mixed_20,0.161675299,0.152308002,0.206754313,0.479262387,0,0.953036889,0.369330857
Mixed_21,0.352935858,0.399487162,0.160886388,0.086690592,0,0.953717583,0.35933657
Mixed_22,0.342790336,0.165248235,0.337204292,0.154757137,0,0.949835582,0.387978002
Mixed_23,0.495532861,0.229610076,0.076068303,0.19878876,0,0.955315891,0.358287314
Mixed_24,0.295108471,0.12119012,0.477794052,0.105907357,0,0.966927994,0.342729615
Mixed_25,0.345341059,0.253424633,0.214536046,0.186698262,0,0.969467217,0.350523154
