Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_26,0.446503408,0.238300289,0.146372628,0.168823675,0,0.960544658,0.355995249
Mixed_27,0.404277341,0.225348646,0.311534279,0.058839734,0,0.963843923,0.346365634
Mixed_28,0.448616549,0.258943852,0.06478941,0.22765019,0,0.946866335,0.379103479
Mixed_29,0.272220922,0.380248614,0.065185972,0.282344492,0,0.937954781,0.396849309
Mixed_30,0.535358125,0.24991297,0.214728905,0,0,0.957615522,0.336218263
Mixed_31,0.706771351,0.061451477,0.170484528,0.061292644,0,0.914435758,0.413519585
Mixed_32,0.263871803,0.274413376,0.103392979,0.358321843,0,0.955878545,0.370865672
Mixed_33,0.360829648,0.319646723,0.105858975,0.213664655,0,0.935494287,0.405918492
Mixed_34,0.182047035,0.558409941,0.068581818,0.190961206,0,0.969800032,0.300406447
Mixed_35,0.457913345,0.241743145,0.194701046,0.105642464,0,0.912720976,0.441116241
Mixed_36,0.122376142,0.339407573,0.059848276,0.478368009,0,0.953326694,0.353162352
Mixed_37,0.423563579,0.074191229,0.333153602,0.16909159,0,0.933490608,0.409115743
Mixed_38,0.335978718,0.235293312,0.371842874,0.056885096,0,0.936567178,0.402764371
Mixed_39,0.479281157,0.044853865,0.409266972,0.066598007,0,0.950297177,0.35933583
Mixed_40,0.417944911,0.382591153,0,0.199463936,0,0.957462993,0.343991739
Mixed_41,0.594885446,0.141303243,0.228937326,0.034873985,0,0.943418487,0.365375972
Mixed_42,0.4332331,0.093338028,0.136224676,0.337204195,0,0.949741591,0.376810431
Mixed_43,0.369789953,0.198388131,0.145510336,0.28631158,0,0.9651156,0.356957049
Mixed_44,0.27178981,0.516136107,0.124383612,0.087690471,0,0.931201972,0.392291096
Mixed_45,0.454335332,0.31897096,0.037085128,0.189608579,0,0.956576112,0.351846921
Mixed_46,0.369734996,0.122090258,0.098966053,0.409208692,0,0.940123225,0.393764009
Mixed_47,0.615919378,0.203689894,0.087983921,0.092406807,0,0.944423926,0.36180746
Mixed_48,0.408018581,0.320584759,0.169442941,0.10195372,0,0.948023015,0.37638953
Mixed_49,0.35055768,0.207751168,0.130140099,0.311551053,0,0.945320516,0.394261829
Mixed_50,0.387313441,0.35045436,0.108396748,0.153835452,0,0.949871692,0.372446502
Mixed_51,0.319304527,0.041115427,0.158842037,0.480738009,0,0.964970811,0.335405718
Mixed_52,0.444626648,0.105641862,0.2519377,0.197793789,0,0.964773829,0.350910686
Mixed_53,0.622305695,0.178530935,0.013156186,0.186007184,0,0.94918721,0.351098773
Mixed_54,0.639907591,0.16903981,0.05351592,0.137536679,0,0.951075768,0.344972414
Mixed_55,0.166064356,0.166995906,0.140386045,0.526553693,0,0.932369943,0.400704315
Mixed_56,0.507028211,0.161214135,0.079672728,0.252084926,0,0.938918127,0.391359055
Mixed_57,0.197185376,0.304305767,0.336170131,0.162338726,0,0.967492283,0.354809164
Mixed_58,0.546900744,0.10278718,0.17571621,0.174595865,0,0.967648791,0.327492912
Mixed_59,0.19840131,0.07168081,0.443926318,0.285991562,0,0.950552664,0.383256922
Mixed_60,0.313836701,0.066916773,0.304433832,0.314812694,0,0.928087981,0.425575659
Mixed_61,0.449051169,0.302968935,0.115561111,0.132418785,0,0.960428866,0.348134578
Mixed_62,0.133053628,0.361747859,0.253472398,0.251726114,0,0.949357346,0.385674535
Mixed_63,0.300173427,0.140312704,0.088362826,0.471151043,0,0.907338233,0.448314543
Mixed_64,0.460424518,0.120783643,0.221621512,0.197170327,0,0.955542821,0.368151405
Mixed_65,0.495167532,0.106630506,0.285442849,0.112759113,0,0.931128271,0.406122127
Mixed_66,0.545146409,0.193296846,0.156734123,0.104822622,0,0.948913944,0.364987667
Mixed_67,0.233288683,0.205239277,0.339437401,0.222034639,0,0.954621829,0.38615639
Mixed_68,0.339012514,0.103397806,0.079297931,0.478291749,0,0.942625764,0.38135308
Mixed_69,0.359204241,0.206563739,0.12719698,0.30703504,0,0.941668036,0.400403292
Mixed_70,0.382937118,0.468724155,0.111388259,0.036950467,0,0.95689685,0.333982752
Mixed_71,0.28282363,0.3241932,0.122104287,0.270878883,0,0.958229397,0.367521141
Mixed_72,0.339119997,0.434486302,0.131381202,0.095012498,0,0.950111651,0.362657496
Mixed_73,0.2968673,0.215258293,0.147336396,0.34053801,0,0.970845622,0.346804071
Mixed_74,0.487469537,0.328071703,0.119215759,0.065243001,0,0.933103406,0.393389557
Mixed_75,0.653643325,0.191746715,0.088550939,0.066059021,0,0.962114642,0.312867603
Mixed_76,0.497005087,0.20739182,0.16338233,0.132220762,0,0.966864921,0.33517085
Mixed_77,0.284358918,0.237115335,0.213423114,0.265102633,0,0.945789321,0.400372082
Mixed_78,0.535475608,0.176726761,0.179634215,0.108163416,0,0.957286142,0.34954798
Mixed_79,0.249087113,0.444478677,0.106146195,0.200288014,0,0.962928579,0.341482517
Mixed_80,0.511189599,0.264549309,0.070526753,0.153734339,0,0.947416923,0.369243855
Mixed_81,0.43583151,0.045023827,0.050763458,0.468381204,0,0.945150245,0.367363287
Mixed_82,0.353806185,0.213673391,0.078455731,0.354064693,0,0.96567173,0.348085726
Mixed_83,0.329388462,0.364397572,0.163126567,0.1430874,0,0.954938899,0.36691396
Mixed_84,0.491295919,0.1882524,0.112572764,0.207878918,0,0.961119641,0.350106368
Mixed_85,0.381281702,0.242332192,0.085878024,0.290508082,0,0.953426944,0.373874597
Mixed_86,0.143055829,0.421285447,0.088479176,0.347179548,0,0.921512558,0.421522897
Mixed_87,0.419162964,0.344348994,0.027565008,0.208923034,0,0.953199537,0.359789237
Mixed_88,0.311903313,0.154163843,0.390027527,0.143905317,0,0.95495684,0.377062375
Mixed_89,0.198865499,0.217008059,0.217933381,0.366193061,0,0.966740598,0.357569493
Mixed_90,0.478828034,0.212260136,0.270388209,0.038523621,0,0.960547908,0.343221016
Mixed_91,0.442371397,0.273804805,0.193317341,0.090506457,0,0.949278823,0.373525049
Mixed_92,0.714814627,0.108665926,0.073390415,0.103129033,0,0.917470539,0.407612686
Mixed_93,0.411268557,0.203579162,0.004828323,0.380323959,0,0.938525837,0.390491781
Mixed_94,0.769579782,0.101279562,0.11523987,0.013900787,0,0.936700287,0.358070046
Mixed_95,0.364504074,0.542535415,0.002509384,0.090451128,0,0.957635664,0.320044165
Mixed_96,0.231328672,0.311440739,0.186291256,0.270939333,0,0.96152271,0.366903421
Mixed_97,0.576558723,0.10031624,0.180001961,0.143123076,0,0.954257629,0.351193902
Mixed_98,0.437245277,0.265845342,0.103324759,0.193584622,0,0.96129479,0.352708207
Mixed_99,0.553464086,0.326898154,0.072212235,0.047425525,0,0.955382369,0.33527716
Mixed_100,0.30646426,0.359534262,0.020867886,0.313133593,0,0.940014244,0.389714232
Mixed_101,0.250922586,0.258250655,0.228791265,0.262035494,0,0.954685091,0.384740365
Mixed_102,0.290205327,0.197794461,0.285598009,0.226402203,0,0.936363916,0.417860811
Mixed_103,0.295122604,0.155192534,0.437090279,0.112594583,0,0.951456841,0.379190982
Mixed_104,0.459108106,0.055292881,0.211654804,0.27394421,0,0.965508414,0.344369137
Mixed_105,0.550843173,0.291190436,0.076749324,0.081217066,0,0.950543371,0.352146811
Mixed_106,0.528480848,0.30677181,0.003432825,0.161314517,0,0.962458047,0.326679721
Mixed_107,0.672855454,0.104107132,0.198519295,0.02451812,0,0.936031964,0.37070585
Mixed_108,0.603995521,0.17934761,0.101746379,0.11491049,0,0.867097662,0.504199952
Mixed_109,0.331263597,0.26323503,0.345888813,0.05961256,0,0.936875893,0.402639794
Mixed_110,0.695261159,0.058980268,0.073318675,0.172439897,0,0.946168163,0.348807581
Mixed_111,0.373188319,0.393981615,0.114155109,0.118674956,0,0.956110543,0.353953561
Mixed_112,0.251428605,0.242874844,0.053898768,0.451797784,0,0.929253803,0.410407702
Mixed_113,0.199809924,0.332533863,0.263643108,0.204013105,0,0.968273088,0.353216737
Mixed_114,0.427142659,0.196679015,0.052025784,0.324152543,0,0.93625399,0.400348189
Mixed_115,0.214599568,0.235517251,0.121174368,0.428708813,0,0.96240808,0.35389828
Mixed_116,0.230238169,0.656648435,0.015671101,0.097442296,0,0.950555846,0.32627879
Mixed_117,0.401085981,0.288814549,0.283818071,0.026281399,0,0.942906428,0.382978775
Mixed_118,0.366198055,0.096697269,0.094655602,0.442449074,0,0.953932387,0.362185769
Mixed_119,0.358579711,0.19546412,0.311812547,0.134143622,0,0.962597389,0.36172187
Mixed_120,0.447409652,0.128942266,0.309705012,0.11394307,0,0.924695703,0.42236657
Mixed_121,0.277544297,0.413770295,0.179977887,0.128707521,0,0.967122488,0.33691398
Mixed_122,0.155155369,0.368980179,0.235829619,0.240034834,0,0.952887738,0.378663238
Mixed_123,0.330985881,0.345080804,0.033897659,0.290035656,0,0.957790124,0.3565465
Mixed_124,0.380662926,0.252674763,0.162362314,0.204299997,0,0.966562108,0.352170884
Mixed_125,0.50948909,0.194774886,0.10506962,0.190666404,0,0.929586352,0.408973423
Mixed_126,0.284093318,0.157123058,0.093151378,0.465632245,0,0.955695333,0.360794561
Mixed_127,0.562873058,0.225588561,0.108294623,0.103243758,0,0.947602048,0.362924722
Mixed_128,0.49937507,0.143424301,0.164392673,0.192807956,0,0.942078961,0.388928558
Mixed_129,0.494869768,0.109303992,0.09273744,0.3030888,0,0.935621346,0.397800858
Mixed_130,0.366846829,0.432090315,0.105324936,0.09573792,0,0.90105349,0.452572917
Mixed_131,0.181124339,0.141158674,0.310748702,0.366968285,0,0.937007701,0.412317337
Mixed_132,0.26323198,0.256379925,0.250685454,0.229702641,0,0.951868873,0.390076941
Mixed_133,0.351748543,0.069191891,0.164836885,0.41422268,0,0.914237685,0.440534091
Mixed_134,0.565888715,0.030546434,0.169453102,0.234111749,0,0.923007644,0.413966107
Mixed_135,0.808064066,0.134991792,0,0.056944142,0,0.941320338,0.343251814
