Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.317062988,0.468539014,0.15561249,0.058785509,0,0.721273665,0.69521599
Mixed_2,0.364717404,0.51361026,0.026151078,0.095521258,0,0.880736451,0.476675908
Mixed_3,0.284035714,0.365182404,0.3153267,0.035455183,0,0.91664058,0.430829192
Mixed_4,0.245636926,0.489152238,0.120878336,0.1443325,0,0.775745224,0.630301044
Mixed_5,0.528003529,0.298950203,0.05324027,0.119805997,0,0.781582744,0.624736303
Mixed_6,0.394097489,0.40720745,0.146086802,0.052608259,0,0.714561541,0.702936785
Mixed_7,0.370793283,0.242493361,0.077707627,0.309005729,0,0.765101402,0.643258935
Mixed_8,0.529464753,0.215492698,0.22390363,0.031138919,0,0.892334799,0.459205735
Mixed_9,0.314883739,0.487383957,0.079963762,0.117768543,0,0.835681156,0.549571056
Mixed_10,0.397670914,0.326930985,0.142145449,0.133252652,0,0.78811064,0.614637752
Mixed_11,0.406823883,0.338905363,0,0.254270753,0,0.879710926,0.480891791
Mixed_12,0.364896236,0.242313367,0.070625727,0.32216467,0,0.86130457,0.51319692
Mixed_13,0.546041624,0.129585325,0.077036508,0.247336543,0,0.709878902,0.712807681
Mixed_14,0.443452963,0.303525486,0.167824489,0.085197062,0,0.801937555,0.596653543
Mixed_15,0.308158417,0.579223469,0.010241876,0.102376238,0,0.729158072,0.693271387
Mixed_16,0.492161542,0.380390495,0.071198298,0.056249665,0,0.7302764,0.688795857
Mixed_17,0.15703562,0.613889868,0.138934951,0.090139561,0,0.822477998,0.568016067
Mixed_18,0.534246722,0.266820751,0.113927228,0.085005299,0,0.859504093,0.512413575
Mixed_19,0.414183526,0.198003563,0.281065704,0.106747207,0,0.850856102,0.532961543
Mixed_20,0.388310176,0.275918945,0.06429099,0.271479889,0,0.820455127,0.57203554
Mixed_21,0.600550942,0.282999871,0.048068194,0.068380994,0,0.647297465,0.788456222
Mixed_22,0.362343224,0.377380152,0.08505711,0.175219514,0,0.908238741,0.435563139
Mixed_23,0.341090613,0.563101677,0.020825879,0.074981831,0,0.871113587,0.492198231
Mixed_24,0.37859661,0.272672164,0,0.348731227,0,0.857818551,0.516227505
Mixed_25,0.458839356,0.335487854,0.187240832,0.018431958,0,0.771904963,0.635104386
Mixed_26,0.547410476,0.275324427,0.115632169,0.061632928,0,0.671700609,0.75491956
Mixed_27,0.209141861,0.226055465,0.279497008,0.285305666,0,0.847815251,0.542667286
Mixed_28,0.549174001,0.305100261,0.140116814,0.005608924,0,0.662402133,0.766129362
Mixed_29,0.440146269,0.140376032,0.280251683,0.139226016,0,0.830569756,0.560175457
Mixed_30,0.456102319,0.316620606,0,0.227277074,0,0.669825114,0.756157368
Mixed_31,0.559869139,0.124085281,0.046830556,0.269215023,0,0.688070068,0.740130054
Mixed_32,0.623508165,0.277786326,0.0225219,0.076183608,0,0.88804125,0.460751376
Mixed_33,0.613378709,0.110590918,0.212708034,0.063322338,0,0.839623358,0.542188741
Mixed_34,0.553048581,0.235965186,0.071719823,0.13926641,0,0.731897418,0.686988097
Mixed_35,0.344631361,0.134617645,0.356182118,0.164568876,0,0.935635447,0.407872776
Mixed_36,0.520985458,0.248501735,0.147954305,0.082558501,0,0.782709577,0.621835344
Mixed_37,0.48111832,0.246458788,0.201780356,0.070642536,0,0.548695984,0.867754101
Mixed_38,0.34503656,0.422113444,0.025713579,0.207136417,0,0.866446709,0.50315714
Mixed_39,0.299047773,0.274592614,0.314231226,0.112128388,0,0.884093158,0.489763032
Mixed_40,0.541304054,0.167789821,0.208553874,0.082352251,0,0.802083104,0.596099915
Mixed_41,0.257640582,0.204650435,0.378933924,0.158775059,0,0.860733766,0.528265762
Mixed_42,0.251228912,0.38262605,0.101276463,0.264868574,0,0.835957803,0.551375705
Mixed_43,0.279138345,0.474610436,0.150643543,0.095607675,0,0.849564554,0.530182932
Mixed_44,0.351659727,0.529743149,0.118597125,0,0,0.82692656,0.561659882
Mixed_45,0.513170318,0.194999169,0.170847003,0.12098351,0,0.877257768,0.485987961
Mixed_46,0.237387911,0.392829349,0.369782741,0,0,0.711401351,0.702968721
Mixed_47,0.056210234,0.479814015,0.382853331,0.08112242,0,0.90099628,0.451293413
Mixed_48,0.378254997,0.223241031,0.216137598,0.182366375,0,0.871362188,0.503779242
Mixed_49,0.362381286,0.066808607,0.264276427,0.306533681,0,0.869622425,0.506172242
Mixed_50,0.542676598,0.166729398,0.207890743,0.082703261,0,0.634623782,0.789731389
Mixed_51,0.37421049,0.372497364,0.056045418,0.197246728,0,0.612308898,0.809952891
Mixed_52,0.670246276,0.140195127,0.092526777,0.09703182,0,0.902628508,0.431425392
Mixed_53,0.52378284,0.188355807,0.12397543,0.163885922,0,0.611755966,0.813139455
Mixed_54,0.516636927,0.239515442,0.072343052,0.171504579,0,0.892198481,0.45831956
Mixed_55,0.321388756,0.27961841,0.297483395,0.10150944,0,0.765950937,0.642125075
Mixed_56,0.182965677,0.437773605,0.150158214,0.229102504,0,0.868281698,0.504081478
Mixed_57,0.646685574,0.173244932,0.053393029,0.126676464,0,0.851391264,0.524510038
Mixed_58,0.645930102,0.252897865,0.046228522,0.054943512,0,0.657952165,0.781559194
Mixed_59,0.278628648,0.208276868,0.08665229,0.426442194,0,0.873969772,0.493058139
Mixed_60,0.557566726,0.237323975,0.165068454,0.040040845,0,0.851701947,0.524202255
Mixed_61,0.188379005,0.239523702,0.461794757,0.110302536,0,0.906145849,0.464560365
Mixed_62,0.36588559,0.356359805,0.168297559,0.109457046,0,0.77471854,0.631203587
Mixed_63,0.278021659,0.325865097,0.166066464,0.230046781,0,0.88562175,0.481561746
Mixed_64,0.478662805,0.148438125,0.118973221,0.253925849,0,0.750440298,0.661435352
Mixed_65,0.123848355,0.169659512,0.312143743,0.39434839,0,0.832772326,0.560970609
Mixed_66,0.223812634,0.329701201,0.043291752,0.403194414,0,0.835120089,0.550823714
Mixed_67,0.321212585,0.442996198,0.060228245,0.175562972,0,0.813434185,0.58134035
Mixed_68,0.319397511,0.232521094,0.209751812,0.238329584,0,0.837498848,0.553128928
Mixed_69,0.361269029,0.182311267,0.126307792,0.330111911,0,0.872455639,0.497850835
Mixed_70,0.437345544,0.37875327,0.13788663,0.046014556,0,0.888267774,0.467086743
Mixed_71,0.666639321,0.153108015,0.143828905,0.03642376,0,0.873663983,0.486003774
Mixed_72,0.495918242,0.309921584,0.150006734,0.044153441,0,0.856170574,0.518402863
Mixed_73,0.246948707,0.391451256,0.287973534,0.073626504,0,0.879011716,0.492152151
Mixed_74,0.461170015,0.232550423,0.10375441,0.202525152,0,0.91172849,0.427731736
Mixed_75,0.221051957,0.492151485,0.223225972,0.063570585,0,0.883133633,0.478587293
Mixed_76,0.102167675,0.530297732,0.244702371,0.122832222,0,0.872295295,0.49453378
Mixed_77,0.631586624,0.116737899,0.090135057,0.16154042,0,0.894199452,0.449151669
Mixed_78,0.348533417,0.156740514,0.342857918,0.151868151,0,0.818515981,0.579893872
Mixed_79,0.460859972,0.405915659,0,0.13322437,0,0.619726489,0.811226739
Mixed_80,0.218388188,0.29341676,0.135939094,0.352255957,0,0.739624322,0.672262615
Mixed_81,0.411986771,0.235550871,0.061672351,0.290790006,0,0.870944734,0.497161404
Mixed_82,0.085933675,0.502002205,0.03955392,0.3725102,0,0.815204249,0.578784245
Mixed_83,0.092824732,0.601660568,0.166673254,0.138841445,0,0.862138228,0.507141391
Mixed_84,0.502743551,0.284902168,0.064587713,0.147766568,0,0.790810221,0.611852239
Mixed_85,0.355490742,0.322000622,0.316700342,0.005808295,0,0.817797085,0.577115625
Mixed_86,0.543585266,0.197905158,0.148194638,0.110314938,0,0.872414726,0.491970827
Mixed_87,0.429341846,0.114354321,0.227305933,0.228997899,0,0.830546012,0.559656856
Mixed_88,0.56792574,0.224529662,0.168445463,0.039099135,0,0.908489906,0.426031777
Mixed_89,0.362178213,0.097759273,0.177065321,0.362997193,0,0.848149539,0.534152425
Mixed_90,0.312631529,0.237578009,0.186003475,0.263786988,0,0.892415534,0.472407841
Mixed_91,0.48211876,0.125950389,0.340937168,0.050993684,0,0.543608022,0.869067292
Mixed_92,0.482799747,0.14368794,0.167688951,0.205823363,0,0.888689238,0.468831383
Mixed_93,0.711595918,0.15863524,0.048926503,0.08084234,0,0.694909407,0.746154014
Mixed_94,0.546030753,0.169472369,0.245737438,0.03875944,0,0.927141729,0.393129976
Mixed_95,0.256765884,0.475463312,0.043753179,0.224017625,0,0.875753189,0.487947061
Mixed_96,0.39189758,0.194005108,0.235875312,0.178222,0,0.860642144,0.51957277
Mixed_97,0.486326941,0.412749789,0.055397609,0.045525661,0,0.896743825,0.447513392
Mixed_98,0.537524991,0.141337668,0.094464034,0.226673307,0,0.9034604,0.436757211
Mixed_99,0.261018865,0.249955288,0.234673475,0.254352372,0,0.424617363,0.95564863
Mixed_100,0.516952387,0.326066455,0,0.156981158,0,0.818946338,0.574016791
Mixed_101,0.510482626,0.215946223,0.146032235,0.127538916,0,0.840198548,0.543004686
Mixed_102,0.41451324,0.362497253,0.039141714,0.183847793,0,0.860916686,0.511890303
Mixed_103,0.370030116,0.239120099,0.335311493,0.055538292,0,0.860169511,0.52136644
