Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_104,0.487589229,0.169749867,0.103190716,0.239470189,0,0.856174988,0.519074108
Mixed_105,0.162862921,0.254800252,0.090493116,0.491843711,0,0.787333722,0.615617616
Mixed_106,0.433055319,0.198049958,0.117577002,0.251317721,0,0.903834745,0.444101457
Mixed_107,0.428495253,0.220209511,0.087433301,0.263861934,0,0.864396492,0.507925051
Mixed_108,0.336447324,0.260734272,0.191786616,0.211031788,0,0.853000391,0.53076033
Mixed_109,0.588792551,0.078417283,0.211716561,0.121073605,0,0.900894072,0.440037576
Mixed_110,0.542762175,0.192692844,0.241436617,0.023108364,0,0.903049802,0.439326478
Mixed_111,0.340848856,0.156387021,0.26950049,0.233263633,0,0.912335569,0.443935689
Mixed_112,0.268471484,0.358857851,0.202249516,0.170421149,0,0.743826255,0.667145288
Mixed_113,0.415518858,0.120199045,0.228478135,0.235803963,0,0.746295853,0.664464142
Mixed_114,0.382240042,0.337034341,0.115542785,0.165182833,0,0.597281348,0.820962684
Mixed_115,0.439375586,0.218317702,0.131314028,0.210992684,0,0.803176386,0.595223665
Mixed_116,0.350167699,0.241895703,0.315547319,0.09238928,0,0.84355557,0.54564563
Mixed_117,0.38074876,0.364066222,0.237599832,0.017585187,0,0.818371213,0.575028751
Mixed_118,0.504432009,0.177560851,0.259179975,0.058827165,0,0.870752578,0.497695386
Mixed_119,0.302637946,0.422945724,0.13247902,0.141937311,0,0.901571764,0.449049993
Mixed_120,0.516944499,0.226464569,0.209935338,0.046655594,0,0.85897669,0.514554053
Mixed_121,0.496626773,0.113186255,0.184589637,0.205597335,0,0.832181079,0.555049751
Mixed_122,0.459477767,0.306002411,0.073233166,0.161286656,0,0.835364562,0.550302847
Mixed_123,0.453500327,0.280663261,0.103480664,0.162355748,0,0.808105345,0.588497107
Mixed_124,0.292294782,0.082409763,0.265733035,0.359562421,0,0.866946688,0.511623097
Mixed_125,0.557542212,0.191633784,0.100447167,0.150376836,0,0.849972204,0.527025801
Mixed_126,0.553805696,0.180131575,0.030634085,0.235428643,0,0.890842618,0.457816477
Mixed_127,0.192452928,0.567316049,0.111527617,0.128703407,0,0.78082904,0.624854137
Mixed_128,0.243642028,0.503510516,0.08459352,0.168253936,0,0.833346108,0.553063502
Mixed_129,0.569749049,0.204350438,0.154110647,0.071789866,0,0.859734712,0.511407399
Mixed_130,0.281429276,0.501707714,0.016220066,0.200642944,0,0.748533804,0.66601153
Mixed_131,0.347524664,0.537884515,0.09843851,0.016152311,0,0.827842312,0.560416255
Mixed_132,0.665647043,0.06940259,0.213273088,0.051677278,0,0.80797341,0.590608139
Mixed_133,0.16429272,0.250069884,0.324169608,0.261467789,0,0.909113891,0.455981303
Mixed_134,0.574424563,0.175712859,0.123090598,0.126771981,0,0.855485486,0.518083289
Mixed_135,0.474683329,0.121249851,0.388031434,0.016035385,0,0.806793717,0.59062408
